11	12	13	15	19	21	22	23	24	30	43	45	48	51	54	56	71	72	73	74	85	86_date	86_number	87_date	87_number	98	status	11_href	21_href	43_href	45_href
2003 102 918	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2003102918/09	31.01.2003				20.08.2004			G10L 15/20 (2000.01); G10L 21/02 (2000.01); G10L 101/023 (2000.01)	СПОСОБ РАСПОЗНАВАНИЯ РЕЧЕВЫХ КОМАНД УПРАВЛЕНИЯ		"ООО ""Центр речевых технологий"" (RU)"	Тампель Иван Борисович (RU), Татарникова Марина Юрьевна (RU)								"196084, Санкт-Петербург, а/я 452, ООО ""ЦРТ"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2003102918&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2003102918&TypeFile=html		
2003 128 960	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2003128960/09	28.02.2002			 28.02.2001 EP 01200749.8	27.03.2005			G10L 15/26 (2000.01); G06F 17/30 (2000.01)							29.09.2003	28.02.2002	BE 02/00024	12.09.2002	WO 02/07139	"103735, Москва, ул. Ильинка, 5/2, ООО ""Союзпатент"", пат.пов. В.С.Ткаченко"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2003128960&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2003128960&TypeFile=html	http://www.fips.ru/Archive/PAT/2005FULL/2005.03.27/DOC/RUNWA/000/002/003/128/960/DOCUMENT.PDF	
2004 102 682	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2004102682/09	03.07.2001				10.06.2005			G10L 15/14 (2000.01)							03.02.2004	03.07.2001	RU 01/00264	16.01.2003	WO 03/005344	"103735, Москва, ул.Ильинка, 5/2, ООО""Союзпатент"", пат.пов. Л.И.Ятровой"		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004102682&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2004102682&TypeFile=html	http://www.fips.ru/Archive/PAT/2005FULL/2005.06.10/DOC/RUNWA/000/002/004/102/682/DOCUMENT.PDF	
2002 110 626	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2002110626/09	19.04.2002				20.11.2003			G10L 15/00 (2000.01)	Способ распознавания тональных телефонных сигналов		Федеральное государственное унитарное предприятие Ленинградский отраслевой научно-исследовательский институт связи	Федосов Михаил Юрьевич								196128, Санкт-Петербург, ул. Варшавская, 11, ФГУП ЛОНИИС, патентная лаборатория, Г.С. Васильевой		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2002110626&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2002110626&TypeFile=html		
2002 133 196	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2002133196/09	09.12.2002				20.06.2004			G10L 15/20 (2000.01)	СПОСОБ ОЦЕНКИ РАЗБОРЧИВОСТИ РЕЧИ, ПОЛУЧАЕМОЙ ПО ТРАКТАМ ПЕРЕГОВОРНЫХ УСТРОЙСТВ СРЕДСТВ ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ ОРГАНОВ ДЫХАНИЯ		Войсковая часть 61469	Алимов Николай Иванович (RU), Шаталов Эдуард Викторович (RU), Попов Сергей Викторович (RU), Дубовицкий Николай Александрович (RU)								412918, Саратовская обл., г. Вольск, в/ч 61469		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2002133196&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2002133196&TypeFile=html		
2 296 376	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2005109023/09	30.03.2005		30.03.2005		10.09.2006	27.03.2007		G10L 15/06 (2006.01); G10L 11/04 (2006.01)	СПОСОБ РАСПОЗНАВАНИЯ СЛОВ РЕЧИ	"US 4852170 A1, 25.07.1989. RU 2230375 C2, 10.06.2004. RU 2101782 C1, 10.01.1998. RU 2119196 C1, 20.09.1998. SU 1775730 A1, 15.11.1992. US 5864809 A1, 26.01.1999. GB 2367938 A1, 17.04.2002. ""Программа пофонемного распознавания - RecHMM"", AudiTech Inc. Санкт-Петербург, 1999, найдено на http://www.auditech.rn."		Гиголо Людмила Антоновна (RU), Сахаров Виталий Олегович (RU)	"Открытое акционерное общество ""Корпорация ""Фазотрон - Научно-исследовательский институт радиостроения"" (RU)"							"123995, Москва, Электрический пер., 1, ОАО ""Корпорация ""Фазотрон-НИИР"", Начальнику отдела интеллектуальной собственности В.И. Фаленко"	Статус: действует (последнее изменение статуса: 28.03.2016);Пошлина: учтена за 12 год с 31.03.2016 по 30.03.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2296376&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2296376&TypeFile=html		http://www.fips.ru/Archive/PAT/2007FULL/2007.03.27/DOC/RUNWC2/000/000/002/296/376/DOCUMENT.PDF
2001 100 318	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2001100318/09	04.01.2001				27.01.2003			G10L 15/02 (2000.01)	ЦИФРОВОЙ АНАЛИЗАТОР СПЕКТРА РЕЧЕВЫХ СИГНАЛОВ		Комиссаров Анатолий Викторович, Липчанский Антон Александрович, Комиссарова Ольга Анатольевна	Комиссаров Анатолий Викторович, Липчанский Антон Александрович, Комиссарова Ольга Анатольевна								355028, г.Ставрополь, ул. Артёма, 2, СФРВИРВ, НИО		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2001100318&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2001100318&TypeFile=html		
2 216 052	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2001104348/09	17.06.1999		17.06.1999	 14.07.1998 US 09/115,359	20.01.2003	10.11.2003		G10L 15/26 (2000.01)		US 5664061 А, 02.09.1997. ЕР 0785540 А, 23.07.1997. RU 2103753 C1, 27.01.1998. US 5425128 А, 13.06.1995.					14.02.2001	17.06.1999	US 99/13718	27.01.2000	WO 00/04533	"103735, Москва, ул.Ильинка, 5/2, ООО ""Союзпатент"", пат.пов. Л.И.Ятровой"	Статус: не действует (последнее изменение статуса: 27.06.2014);Пошлина: учтена за 12 год с 18.06.2010 по 17.06.2011	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2216052&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2216052&TypeFile=html		
2 276 810	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2004102682/09	03.07.2001		03.07.2001		10.06.2005	20.05.2006		G10L 15/14 (2006.01)		RU 2161336 С2, 27.12.2000. RU 2121172 С1, 27.10.1998. US 5193142 A, 09.03.1993. JP 10-091185 A, 10.04.1998.					03.02.2004	03.07.2001	RU 01/00264	16.01.2003	WO 03/005344	"103735, Москва, ул. Ильинка, 5/2, ООО ""Союзпатент"", пат.пов. С.Б.Фелицыной"	Статус: не действует (последнее изменение статуса: 08.07.2013);Пошлина: учтена за 9 год с 04.07.2009 по 03.07.2010	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2276810&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2276810&TypeFile=html		http://www.fips.ru/Archive/PAT/2006FULL/2006.05.20/DOC/RUNWC2/000/000/002/276/810/DOCUMENT.PDF
2 597 498	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2015111718/08	31.03.2015		31.03.2015			10.09.2016		G10L 15/00 (2013.01)	СПОСОБ РАСПОЗНАВАНИЯ РЕЧИ НА ОСНОВЕ ДВУХУРОВНЕВОГО МОРФОФОНЕМНОГО ПРЕФИКСНОГО ГРАФА	US 5,040,215 A1, 13.08.1991. US 7,496,511 B2, 24.02.2009. RU 2 268 504 C9, 27.06.2006. RU 108 172 U1, 10.09.2011. UA 7 728 U, 15.07.2005.		Ронжин Андрей Леонидович (RU), Карпов Алексей Анатольевич (RU)	Федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт информатики и автоматизации Российской академии наук (RU)							199178, Санкт-Петербург, 14 линия, 39, СПИИРАН	Статус: действует (последнее изменение статуса: 19.09.2016);Пошлина: учтена за 3 год с 01.04.2017 по 31.03.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2597498&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2597498&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.09.10/DOC/RUNWC1/000/000/002/597/498/DOCUMENT.PDF
