11	12	13	15	19	21	22	23	24	30	43	45	48	51	54	56	71	72	73	74	85	86_date	86_number	87_date	87_number	98	status	11_href	21_href	43_href	45_href
2 582 050	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2015102879/14	28.01.2015		28.01.2015			20.04.2016		A61B 5/12 (2006.01); G10L 15/00 (2013.01)	СПОСОБ АДАПТИВНОЙ ОБРАБОТКИ РЕЧЕВЫХ СИГНАЛОВ В УСЛОВИЯХ НЕСТАБИЛЬНОЙ РАБОТЫ РЕЧЕВОГО АППАРАТА	RU 2313280 C1, 27.12.2007. RU 2013119828 A, 10.11.2014. WO 2011148230 A1, 01.12.2011. US 2012220899 A1, 30.08.2012. US 2008300867 A1, 04.12.2008. D.Michaelis et al. Glottal-to-noise excitation ratio-a new measure for describing pathological voices, ACUSTICA, v.83, 1997, pp.700-706.		Тычков Александр Юрьевич (RU), Алимурадов Алан Казанферович (RU), Чураков Петр Павлович (RU)	"Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Пензенский государственный университет"" (ФГБОУ ВПО ""Пензенский государственный университет"") (RU)"							"440026, г. Пенза, ул. Красная, 40, ФГБОУ ВПО ""Пензенский государственный университет"""	Статус: может прекратить свое действие (последнее изменение статуса: 07.09.2017)	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2582050&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2582050&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.04.20/DOC/RUNWC1/000/000/002/582/050/DOCUMENT.PDF
153 322	ОПИСАНИЕ ПОЛЕЗНОЙ МОДЕЛИ К ПАТЕНТУ	U1		RU	2014139488/12	30.09.2014		30.09.2014			10.07.2015		G09B 19/06 (2006.01); G10L 15/00 (2013.01)	УСТРОЙСТВО ДЛЯ ОБУЧЕНИЯ РАЗГОВОРНОЙ(УСТНОЙ) РЕЧИ С ВИЗУАЛЬНОЙ ОБРАТНОЙ СВЯЗЬЮ			Кнеллер Эммануил Григорьевич (RU), Караульных Денис Владимирович (RU)	"Закрытое акционерное общество ""ИстраСофт"" (RU)"							"143026, Москва, ул. Луговая, д. 4, офис 402.1, ООО ""Центр интеллектуальной собственности ""Сколково"", территория инновационного центра ""Сколково"""	Статус: действует (последнее изменение статуса: 17.09.2015);Пошлина: учтена за 2 год с 01.10.2015 по 30.09.2016	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=153322&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=153322&TypeFile=html		http://www.fips.ru/Archive/PAT/2015FULL/2015.07.10/DOC/RUNWU1/000/000/000/153/322/DOCUMENT.PDF
2 582 070	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2014153587/07	12.07.2013		12.07.2013	 12.07.2012 KR 10-2012-0076137; 05.02.2013 KR 10-2013-0012988		20.04.2016		H04N 21/422 (2011.01); H04N 21/485 (2011.01); G10L 15/30 (2013.01)		EP 1207516 A1, 2002-05-22. US 8032383 B1, 2011-10-04. US 7752050 B1, 2010-07-06. US 2009030681 A1, 2009-01-29. US 5893064 A, 1999-04-06. RU 2360281 C2, 2009-06-27.					12.02.2015	12.07.2013	KR 2013/006243	16.01.2014	WO 2014/010981	"129090, Москва, ул. Б. Спасская, 25, строение 3, ООО ""Юридическая фирма Городисский и Партнеры"""	Статус: действует (последнее изменение статуса: 27.04.2016);Пошлина: учтена за 4 год с 13.07.2016 по 12.07.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2582070&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2582070&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.04.20/DOC/RUNWC1/000/000/002/582/070/DOCUMENT.PDF
2 583 445	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2015103239/07	02.07.2013		02.07.2013	 03.07.2012 KR 10-2012-0072448		10.05.2016		H04N 21/422 (2011.01); H04N 21/27 (2011.01); G10L 15/30 (2013.01)		EP 2339576 A2, 2011-06-29. US 2011055256 A1, 2011-03-03. EP 2355093 A2, 2011-08-10. US 2011054900 A1, 2011-03-03. WO 2012063360 A1, 2012-05-18. US 2009030681 A1, 2009-01-29. RU 2360281 C2, 2009-06-27.					03.02.2015	02.07.2013	KR 2013/005841	09.01.2014	WO 2014/007502	"129090, Москва, ул. Б. Спасская, 25, строение 3, ООО ""Юридическая фирма Городисский и Партнеры"""	Статус: действует (последнее изменение статуса: 10.05.2016);Пошлина: учтена за 4 год с 03.07.2016 по 02.07.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2583445&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2583445&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.05.10/DOC/RUNWC1/000/000/002/583/445/DOCUMENT.PDF
2 598 314	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2013136376/08	05.08.2013		05.08.2013		10.02.2015	20.09.2016		G10L 17/14 (2013.01); G10L 17/24 (2013.01); G10L 15/00 (2013.01)	СПОСОБ ОЦЕНКИ ВАРИАТИВНОСТИ ПАРОЛЬНОЙ ФРАЗЫ (ВАРИАНТЫ)	US 2011/0276323 A1, 10.11.2011;US 2006/0111898 A1, 25.05.2006;US 2004/0234137 A1, 25.11.2004;US 6957185 B1, 18.10.2005. RU 2419890 C1, 27.05.2011.		Хитров Михаил Васильевич (RU), Дырмовский Дмитрий Викторович (RU)	"Общество с ограниченной ответственностью ""Центр речевых технологий"" (ООО ""ЦРТ"") (RU)"							197227, Санкт-Петербург, а/я 405, Воропаю Сергею Александровичу	Статус: действует (последнее изменение статуса: 27.09.2016);Пошлина: учтена за 4 год с 06.08.2016 по 05.08.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2598314&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2598314&TypeFile=html		http://www.fips.ru/Archive4/PAT/2016FULL/2016.09.20/DOC/RUNWC2/000/000/002/598/314/DOCUMENT.PDF
2 631 139	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2015135361	15.01.2014		15.01.2014	 21.01.2013 US 61/754,882; 05.04.2013 US 61/809,250; 16.05.2013 US 61/824,010	28.02.2017	19.09.2017		H03G 9/00 (2006.01); G06F 3/16 (2006.01); G10L 13/033 (2013.01); G10L 21/0364 (2013.01); G10L 15/20 (2006.01)		US 2006/0002572 A1, 05.01.2006. US 2011/0169721 A1, 14.07.2011. US 2009/0046873 A1, 19.02.2009. WO 2011/102967 A1, 25.08.2011. RU 2394283 C1, 10.07.2010.					21.08.2015	15.01.2014	US 2014/011681	24.07.2014	WO 2014/113471	"129090, Москва, ул. Б. Спасская, 25, стр. 3, ООО ""Юридическая фирма Городисский и Партнеры"""	Статус: нет данных	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2631139&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2631139&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.09.19/RUNWC1/000/000/002/631/139/%D0%98%D0%97-02631139-00001/document.pdf
2 628 118	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2015105099	16.02.2015		16.02.2015		10.09.2016	15.08.2017		G10L 15/00 (2013.01); G10L 15/26 (2006.01); G11B 27/28 (2006.01)	СПОСОБ ФОРМИРОВАНИЯ И ИСПОЛЬЗОВАНИЯ ИНВЕРТИРОВАННОГО ИНДЕКСА АУДИОЗАПИСИ И МАШИНОЧИТАЕМЫЙ НОСИТЕЛЬ ИНФОРМАЦИИ	US 8497417 B2, 30.07.2013. US 2013/0138442 A1, 30.05.2013. RU 2459281 C1, 20.08.2012. GB 2494511 B, 13.03.2013.		КАЛИНИНА Елена Андреевна (RU)	"Общество с ограниченной ответственностью ""Яндекс"" (RU)"							"119021, Москва, ул. Льва Толстого, 16, ООО ""ЯНДЕКС"", патентный отдел"	Статус: нет данных	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2628118&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2628118&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.08.15/RUNWC1/000/000/002/628/118/%D0%98%D0%97-02628118-00001/document.pdf
2 627 117	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2015111180	29.11.2012		29.11.2012	 28.09.2012 KR 10-2012-0109453; 22.10.2012 KR 10-2012-0117193	20.10.2016	03.08.2017		G10L 15/30 (2013.01); H04L 12/66 (2006.01); G10L 15/22 (2006.01)		US 6408272 B1, 18.06.2002. US 2007/0027693 A1, 01.02.2007. US 8224644 B2, 17.07.2012. US 2008/0300884 A1, 04.12.2008. WO 2011/163538 A1, 29.12.2011. RU 2391716 C2, 10.06.2010.					27.03.2015	29.11.2012	KR 2012/010255	03.04.2014	WO 2014/051207	"129090, Москва, ул. Б. Спасская, 25, стр. 3, ООО ""Юридическая фирма Городисский и Партнеры"""	Статус: действует (последнее изменение статуса: 17.08.2017);Пошлина: учтена за 6 год с 30.11.2017 по 29.11.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2627117&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2627117&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.08.03/RUNWC1/000/000/002/627/117/%D0%98%D0%97-02627117-00001/document.pdf
2 628 118	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2015105099	16.02.2015		16.02.2015		10.09.2016	15.08.2017		G10L 15/00 (2013.01); G10L 15/26 (2006.01); G11B 27/28 (2006.01)	СПОСОБ ФОРМИРОВАНИЯ И ИСПОЛЬЗОВАНИЯ ИНВЕРТИРОВАННОГО ИНДЕКСА АУДИОЗАПИСИ И МАШИНОЧИТАЕМЫЙ НОСИТЕЛЬ ИНФОРМАЦИИ	US 8497417 B2, 30.07.2013. US 2013/0138442 A1, 30.05.2013. RU 2459281 C1, 20.08.2012. GB 2494511 B, 13.03.2013.		КАЛИНИНА Елена Андреевна (RU)	"Общество с ограниченной ответственностью ""Яндекс"" (RU)"							"119021, Москва, ул. Льва Толстого, 16, ООО ""ЯНДЕКС"", патентный отдел"	Статус: действует (последнее изменение статуса: 28.08.2017);Пошлина: учтена за 3 год с 17.02.2017 по 16.02.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2628118&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2628118&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.08.15/RUNWC1/000/000/002/628/118/%D0%98%D0%97-02628118-00001/document.pdf
2014 152 070	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2014152070	12.07.2013			 12.07.2012 KR 10-2012-0076129	27.08.2016			G10L 15/00 (2013.01); G10L 15/22 (2006.01)							12.02.2015	12.07.2013	KR 2013/006245	16.01.2014	WO 2014/010982	"129090, Москва, ул. Б. Спасская, 25, строение 3, ООО ""Юридическая фирма Городисский и Партнеры"""		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2014152070&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2014152070&TypeFile=html	http://www.fips.ru/Archive4/PAT/2016FULL/2016.08.27/DOC/RUNWA/000/002/014/152/070/DOCUMENT.PDF	
2 432 623	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2009102507/09	14.06.2007		14.06.2007	 27.06.2006 DE 102006029755.5	10.08.2010	27.10.2011		G10L 15/18 (2006.01); G10L 15/28 (2006.01)		WO 0014727 A1, 16.03.2000. US 2002133346 A1, 19.09.2002. US 2002055845 A1, 09.05.2002. WO 0058945 A1, 05.10.2000. US 2003182131 A1, 25.09.2003. RU 2004124499 A, 27.01.2006. RU 2003128960 A, 27.03.2005.					27.01.2009	14.06.2007	EP 2007/005224	03.01.2008	WO 2008/000353	"103735, Москва, ул.Ильинка, 5/2, ООО ""Союзпатент"", пат.пов. С.В.Истомину"	Статус: действует (последнее изменение статуса: 19.06.2017);Пошлина: учтена за 11 год с 15.06.2017 по 14.06.2018	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2432623&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2432623&TypeFile=html		http://www.fips.ru/Archive/PAT/2011FULL/2011.10.27/DOC/RUNWC2/000/000/002/432/623/DOCUMENT.PDF
2 606 566	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2014154081	29.12.2014		29.12.2014		20.07.2016	10.01.2017		G10L 15/08 (2006.01); G10L 15/00 (2013.01)	Способ и устройство классификации сегментов зашумленной речи с использованием полиспектрального анализа	RU2466468 C1, 10.11.2012. RU 2268504 C2, 27.06.2006. RU 2403628 C2, 10.11.2010. RU 2294024 C2, 20.02.2007. US 4624011 A1, 18.11.1986. US 4852170 A1, 25.07.1989. US 5640490 A1, 17.06.1997. US 2011/0054892 A1, 03.03.2011.		Титов Олег Николаевич (RU), Афанасьев Андрей Алексеевич (RU), Илюшин Михаил Владимирович (RU)	"Федеральное государственное казенное военное образовательное учреждение высшего образования ""Академия Федеральной службы охраны Российской Федерации"" (Академия ФСО России) (RU)"							302034, г. Орел, ул. Приборостроительная, 35, Академия ФСО России, ОНТИ	Статус: может прекратить свое действие (последнее изменение статуса: 17.07.2017)	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2606566&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2606566&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2016.12.31/RUNWC1/000/000/002/606/566/%D0%98%D0%97-02606566-00001/document.pdf
2 621 647	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2016132226	26.07.2016		26.07.2016			06.06.2017		G10L 15/02 (2006.01); G10L 15/08 (2006.01)	СПОСОБ ОЦЕНКИ МГНОВЕННОЙ ЧАСТОТЫ РЕЧЕВОГО СИГНАЛА В ТОЧКАХ ЛОКАЛЬНОГО МАКСИМУМА	"РИЧАРД ЛАЙОНС ""Цифровая обработка сигналов"", Москва Издательство БИНОМ, второе издание, опубл. в 2006 г., с. 367, 368, фиг. 9.7. СЛАВЯНСКАЯ ЛАРИСА ВЛАДИМИРОВНА, ""Кодирование звуковой информации. Подготовка к ЕГЭ"", апрель 2016 ""Цифровые аудиоформаты"", 28.11.2014. НИГМАТУЛЛИН Р.Р. и др ""Параметры, характеризующие локальные фрагменты речевых файлов"", Ученые записки Казанского университета, Физико-математические науки, 2013, том 155, книга 2, 100-107, опубл. в 2013 г. на 9 страницах. RU 2007763 C1, 15.02.1994. EP 0645756 A1, 29.03.1995. US 2003/0028374 A1, 06.02.2003."		Столов Евгений Львович (RU), Нигматуллин Руслан Рафикович (RU)	"федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" (ФГАОУ ВПО КФУ) (RU)"							"420008, Казань, ул. Кремлевская, 18, федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" (ФГАОУ ВПО КФУ), ПЛО, И.А. Назмиеву"	Статус: нет данных	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2621647&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2621647&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.06.06/RUNWC1/000/000/002/621/647/%D0%98%D0%97-02621647-00001/document.pdf
2014 121 524	ЗАЯВКА НА ИЗОБРЕТЕНИЕ	A		RU	2014121524/08	27.05.2014				10.12.2015			G10L 15/02 (2006.01); G10L 15/08 (2006.01)	СПОСОБ ОЦЕНКИ МГНОВЕННОЙ ЧАСТОТЫ РЕЧЕВОГО СИГНАЛА В ТОЧКАХ ЛОКАЛЬНОГО МАКСИМУМА		"Федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" (ФГАОУ ВПО КФУ) (RU)"	Столов Евгений Львович (RU), Нигматуллин Руслан Рафикович (RU)								420008, г.Казань, Кремлевская ул., 18, ФГАОУ ВПО КФУ, ПЛО УНИД, И.А. Назмиеву		http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2014121524&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2014121524&TypeFile=html	http://www.fips.ru/Archive/PAT/2015FULL/2015.12.10/DOC/RUNWA/000/002/014/121/524/DOCUMENT.PDF	
2 621 647	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C1		RU	2016132226	26.07.2016		26.07.2016			06.06.2017		G10L 15/02 (2006.01); G10L 15/08 (2006.01)	СПОСОБ ОЦЕНКИ МГНОВЕННОЙ ЧАСТОТЫ РЕЧЕВОГО СИГНАЛА В ТОЧКАХ ЛОКАЛЬНОГО МАКСИМУМА	"РИЧАРД ЛАЙОНС ""Цифровая обработка сигналов"", Москва Издательство БИНОМ, второе издание, опубл. в 2006 г., с. 367, 368, фиг. 9.7. СЛАВЯНСКАЯ ЛАРИСА ВЛАДИМИРОВНА, ""Кодирование звуковой информации. Подготовка к ЕГЭ"", апрель 2016 ""Цифровые аудиоформаты"", 28.11.2014. НИГМАТУЛЛИН Р.Р. и др ""Параметры, характеризующие локальные фрагменты речевых файлов"", Ученые записки Казанского университета, Физико-математические науки, 2013, том 155, книга 2, 100-107, опубл. в 2013 г. на 9 страницах. RU 2007763 C1, 15.02.1994. EP 0645756 A1, 29.03.1995. US 2003/0028374 A1, 06.02.2003."		Столов Евгений Львович (RU), Нигматуллин Руслан Рафикович (RU)	"федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" (ФГАОУ ВПО КФУ) (RU)"							"420008, Казань, ул. Кремлевская, 18, федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Казанский (Приволжский) федеральный университет"" (ФГАОУ ВПО КФУ), ПЛО, И.А. Назмиеву"	Статус: действует (последнее изменение статуса: 19.06.2017);Пошлина: учтена за 3 год с 27.07.2018 по 26.07.2019	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2621647&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2621647&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2017.06.06/RUNWC1/000/000/002/621/647/%D0%98%D0%97-02621647-00001/document.pdf
2 606 566	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2014154081	29.12.2014		29.12.2014		20.07.2016	10.01.2017		G10L 15/08 (2006.01); G10L 15/00 (2013.01)	Способ и устройство классификации сегментов зашумленной речи с использованием полиспектрального анализа	RU2466468 C1, 10.11.2012. RU 2268504 C2, 27.06.2006. RU 2403628 C2, 10.11.2010. RU 2294024 C2, 20.02.2007. US 4624011 A1, 18.11.1986. US 4852170 A1, 25.07.1989. US 5640490 A1, 17.06.1997. US 2011/0054892 A1, 03.03.2011.		Титов Олег Николаевич (RU), Афанасьев Андрей Алексеевич (RU), Илюшин Михаил Владимирович (RU)	"Федеральное государственное казенное военное образовательное учреждение высшего образования ""Академия Федеральной службы охраны Российской Федерации"" (Академия ФСО России) (RU)"							302034, г. Орел, ул. Приборостроительная, 35, Академия ФСО России, ОНТИ	Статус: нет данных	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2606566&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2606566&TypeFile=html		http://www1.fips.ru/ofpstorage/IZPM/2016.12.31/RUNWC1/000/000/002/606/566/%D0%98%D0%97-02606566-00001/document.pdf
2 439 716	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2009100152/08	15.05.2007		15.05.2007	 12.07.2006 US 11/485,011	20.07.2010	10.01.2012		G10L 15/06 (2006.01); G10L 15/22 (2006.01); H04M 1/67 (2006.01)		US 6324262 В1, 27.11.2001. US 2006035635 A1, 16.02.2006. US 2005276390 A1, 15.12.2005. US 5644624 A, 01.07.1997. US 4941168 A, 10.07.1990. KR 20030068693 A, 25.08.2003. RU 2004124499 A, 27.01.2006.					11.01.2009	15.05.2007	US 2007/011567	17.01.2008	WO 2008/008117	"129090, Москва, ул. Б. Спасская, 25, стр.3, ООО ""Юридическая фирма Городисский и Партнеры"", пат.пов. Ю.Д.Кузнецову"	Статус: действует (последнее изменение статуса: 27.04.2016);Пошлина: учтена за 10 год с 16.05.2016 по 15.05.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2439716&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2439716&TypeFile=html		http://www.fips.ru/Archive/PAT/2012FULL/2012.01.10/DOC/RUNWC2/000/000/002/439/716/DOCUMENT.PDF
2 432 623	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2009102507/09	14.06.2007		14.06.2007	 27.06.2006 DE 102006029755.5	10.08.2010	27.10.2011		G10L 15/18 (2006.01); G10L 15/28 (2006.01)		WO 0014727 A1, 16.03.2000. US 2002133346 A1, 19.09.2002. US 2002055845 A1, 09.05.2002. WO 0058945 A1, 05.10.2000. US 2003182131 A1, 25.09.2003. RU 2004124499 A, 27.01.2006. RU 2003128960 A, 27.03.2005.					27.01.2009	14.06.2007	EP 2007/005224	03.01.2008	WO 2008/000353	"103735, Москва, ул.Ильинка, 5/2, ООО ""Союзпатент"", пат.пов. С.В.Истомину"	Статус: действует (последнее изменение статуса: 27.06.2016);Пошлина: учтена за 10 год с 15.06.2016 по 14.06.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2432623&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2432623&TypeFile=html		http://www.fips.ru/Archive/PAT/2011FULL/2011.10.27/DOC/RUNWC2/000/000/002/432/623/DOCUMENT.PDF
2 530 268	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2012150997/08	28.11.2012		28.11.2012		27.06.2014	10.10.2014		G06F 3/16 (2006.01); G10L 15/18 (2013.01); G10L 15/22 (2006.01); G10L 13/033 (2013.01)	СПОСОБ ОБУЧЕНИЯ ИНФОРМАЦИОННОЙ ДИАЛОГОВОЙ СИСТЕМЫ ПОЛЬЗОВАТЕЛЕМ	"А.В. Фролов и др., ""Синтез и распознавание речи. Современные решения"", 14.10.2012, [он-лайн, 08.07.2013]. Найдено в Интернет: . URL. US 2011/0166852 A1, 07.07.2011. Cisco Systems, ""Руководство пользователя интерфейса телефона Cisco Unity Connection (выпуск 8.x)"", 02.02.2010, [он-лайн, 16.07.2013]. Найдено в Интернет: URL. US 2007/0083375 A1, 12.04.2007"		Гельфенбейн Илья Геннадьевич (RU), Гельфенбейн Ольга Александровна (RU), Гончарук Артем Владимирович (US), Платонов Илья Андреевич (RU), Сиротин Павел Александрович (RU)	"Общество с ограниченной ответственностью ""Спиктуит"" (RU)"							194156, Санкт-Петербург, а/я 50, Светлову И.А.	Статус: действует (последнее изменение статуса: 19.12.2016);Пошлина: учтена за 5 год с 29.11.2016 по 28.11.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530268&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530268&TypeFile=html		http://www.fips.ru/Archive/PAT/2014FULL/2014.10.10/DOC/RUNWC2/000/000/002/530/268/DOCUMENT.PDF
2 530 267	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	2012150996/08	28.11.2012		28.11.2012		27.06.2014	10.10.2014		G06F 3/16 (2006.01); G10L 15/18 (2013.01); G10L 15/22 (2006.01); G10L 13/033 (2013.01)	СПОСОБ КОММУНИКАЦИИ ПОЛЬЗОВАТЕЛЯ С ИНФОРМАЦИОННОЙ ДИАЛОГОВОЙ СИСТЕМОЙ	"US 2011/0166852 A1, 07.07.2011. US 2005/0108338 A1, 19.05.2005. А.В. Фролов и др., ""Синтез и распознавание речи. Современные решения"", 14.10.2012, [он-лайн, 08.07.2013], Найдено в Интернет: URL. Ryosuke ISOTANI ey al, "" Speech-to-Speech Translation Software on PDAs for Travel Conversation"", april 2003, [он-лайн, 08.07.2013], Найдено в Интернет:"		Гельфенбейн Илья Геннадьевич (RU), Гельфенбейн Ольга Александровна (RU), Гончарук Артем Владимирович (US), Платонов Илья Андреевич (RU), Сиротин Павел Александрович (RU)	"Общество с ограниченной ответственностью ""Спиктуит"" (RU)"							194156, Санкт-Петербург, а/я 50, Светлову И.А.	Статус: действует (последнее изменение статуса: 19.12.2016);Пошлина: учтена за 5 год с 29.11.2016 по 28.11.2017	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530267&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2530267&TypeFile=html		http://www.fips.ru/Archive/PAT/2014FULL/2014.10.10/DOC/RUNWC2/000/000/002/530/267/DOCUMENT.PDF
2 161 826	ОПИСАНИЕ ИЗОБРЕТЕНИЯ К ПАТЕНТУ	C2		RU	98115720/09	17.08.1998		17.08.1998			10.01.2001		G10L 17/00 (2000.01); G10L 11/04 (2000.01); G10L 11/06 (2000.01); G10L 15/06 (2000.01); G10L 15/16 (2000.01)	СПОСОБ АВТОМАТИЧЕСКОЙ ИДЕНТИФИКАЦИИ ЛИЧНОСТИ	SU 1453442 A1, 23.01.1989. US 4078154 A, 07.03.1978. БОЧКАРЕВ С.Л. Система голосовой аутентификации по динамическим параметрам акустического тракта человека. Специальная техника средств связи. Серия системы, сети и технические средства конфиденциальной связи. - Пенза: ПНИЭИ, 1996, вып.1, с.93 - 102. КОРОТАЕВ Г.А. Анализ и синтез речевого сигнала методом линейного предсказания. Зарубежная радиоэлектроника, 1990, N3, с.36. US 4627323 A, 09.09.1986. ВЕРХАГЕН К. и др. Распознавание образов. Состояние и перспективы. - М.: Радио и связь, 1985, с.39 - 45. УОССЕРМЕН Ф. Нейрокомпьютерная техника: теория и практика. - М.: Мир, 1992, с. 76. US 1394232 A1, 07.05.1988. SU 1501139 A2, 15.08.1989. WO 92/15090 A1, 03.09.1992. EP 411655 A2, 06.02.1991.	Пензенский научно-исследовательский электротехнический институт	Бочкарев С.Л., Иванов А.И., Андрианов В.В., Бочкарев В.Л., Оськин В.А.	Пензенский научно-исследовательский электротехнический институт							440601, г.Пенза, ГСП, ПНИЭИ	Статус: не действует (последнее изменение статуса: 19.09.2011);Пошлина: учтена за 9 год с 18.08.2006 по 17.08.2007	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2161826&TypeFile=html	http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&DocNumber=2161826&TypeFile=html		
